Run,Pass,MinCluster,ClusterMult,StopLossMult,ImpulseLookback,PullbackLookforward,ImpulseMult,PullbackMult,TP
RUN3,1483,2,0.1,0.25,120,6,0.4,0.6,3
RUN1,3157,4,0.5,0.4,48,6,0.8,0.4,1
RUN1,1991,4,0.5,0.4,144,18,0.8,0.8,1
RUN1,3156,4,0.5,0.4,144,6,0.8,0.4,1
RUN2,5456,4,0.5,0.45,96,24,0.6,0.8,1
RUN2,4233,4,0.5,0.45,120,24,0.6,0.8,1
RUN1,2794,4,0.5,0.4,144,18,0.6,0.8,1
RUN1,3059,4,0.5,0.4,96,18,0.6,0.8,1
RUN1,3037,4,0.5,0.4,144,6,1,0.4,1
RUN1,2912,4,0.5,0.4,144,6,0.4,0.4,1
RUN2,5747,4,0.5,0.4,72,6,1,0.4,1
RUN2,5578,4,0.4,0.4,72,18,0.8,0.8,1
RUN2,5191,4,0.5,0.5,72,24,0.6,0.8,1
RUN3,2002,4,0.3,0.5,168,24,0.8,1,1
RUN1,1449,3,0.3,0.5,72,24,0.8,0.8,1
RUN1,1540,2,0.1,0.25,168,24,1.2,0.8,3
RUN2,5156,4,0.5,0.5,72,24,0.8,0.8,1
RUN1,1201,4,0.4,0.3,96,18,0.4,0.8,2
RUN1,3027,4,0.4,0.5,168,24,0.6,0.8,1
RUN3,1328,4,0.2,0.15,120,18,0.6,0.8,4
RUN1,2454,4,0.3,0.4,120,6,0.8,0.4,1
RUN1,2663,4,0.3,0.4,96,6,0.8,0.4,1
RUN1,3154,4,0.5,0.4,96,18,0.6,0.6,1
RUN1,3064,4,0.5,0.4,48,18,0.6,0.6,1
RUN1,3024,4,0.5,0.4,144,18,0.6,0.6,1
RUN1,2448,4,0.5,0.4,24,12,0.8,0.4,1
RUN3,569,4,0.2,0.15,120,18,0.4,0.6,3
RUN2,4472,4,0.2,0.15,96,12,1,0.4,3
RUN1,918,4,0.4,0.3,120,6,0.6,0.8,2
RUN1,866,4,0.3,0.15,168,24,0.8,1,5
RUN2,4593,4,0.2,0.3,144,12,0.4,0.6,3
RUN2,5709,4,0.5,0.5,96,18,0.8,0.8,1
RUN2,5676,4,0.5,0.5,120,18,0.8,0.8,1
RUN2,4552,4,0.2,0.2,144,6,0.6,0.6,3
RUN2,4818,4,0.5,0.5,72,24,0.8,1,1
RUN1,1376,2,0.1,0.25,72,6,0.6,0.8,3
RUN1,2456,4,0.5,0.4,168,6,1.6,0.4,1
RUN3,1892,4,0.2,0.4,168,18,0.6,0.8,1
RUN3,2482,4,0.2,0.4,96,18,0.6,0.8,1
RUN1,771,3,0.3,0.5,72,18,0.8,0.8,1
RUN2,5084,3,0.3,0.5,72,18,0.8,0.8,1
RUN2,5207,3,0.3,0.5,96,18,0.8,0.8,1
RUN1,1919,3,0.2,0.25,48,12,1.2,0.6,3
RUN3,2264,4,0.4,0.4,24,18,0.6,0.6,1
RUN3,2081,3,0.4,0.4,144,6,1.8,0.6,1
RUN1,2723,4,0.3,0.4,144,6,0.6,0.4,1
RUN1,2888,4,0.3,0.4,120,6,0.6,0.4,1
RUN1,3055,4,0.5,0.4,144,6,1.8,0.4,1
RUN1,2143,4,0.5,0.4,144,6,1.6,0.4,1
RUN1,2478,3,0.2,0.4,168,6,0.8,0.4,1
RUN3,2472,4,0.2,0.4,72,24,0.6,0.8,1
RUN1,2907,4,0.4,0.5,96,18,0.6,0.8,1
RUN1,3093,4,0.4,0.5,144,18,0.6,0.8,1
RUN1,1544,4,0.4,0.5,144,18,0.8,0.8,1
RUN1,1790,4,0.4,0.5,72,18,0.8,0.8,1
RUN2,5267,4,0.2,0.5,144,24,0.6,0.8,1
RUN2,5540,4,0.2,0.5,72,24,1,0.8,1
RUN1,3034,4,0.5,0.4,96,18,1.2,0.6,1
RUN2,5116,2,0.2,0.45,144,18,0.8,0.8,1
RUN2,3899,4,0.2,0.3,96,18,0.6,0.4,3
RUN2,5317,2,0.3,0.5,96,18,0.8,0.8,1
RUN2,5225,3,0.2,0.5,120,24,1,1,1
RUN2,5302,4,0.2,0.2,168,18,0.8,0.8,4
RUN1,1848,4,0.2,0.2,120,18,0.8,0.8,4
RUN1,1977,4,0.2,0.2,144,18,0.8,0.8,4
RUN1,1625,4,0.2,0.2,96,18,0.8,0.8,4
RUN1,2076,4,0.2,0.2,72,18,0.8,0.8,4
RUN2,4144,4,0.2,0.15,96,18,1,0.4,3
RUN2,4219,2,0.2,0.45,144,18,0.4,0.8,1
RUN1,1206,4,0.5,0.4,144,6,0.6,0.6,1
RUN1,1405,4,0.5,0.4,144,6,1.8,0.6,1
RUN2,5484,4,0.2,0.5,72,18,0.4,0.8,1
RUN3,2063,4,0.3,0.4,96,24,1.8,0.4,3
